"Coefficient","CpG"
-2.82849423476165,"(Intercept)"
0,"cg00001582"
0,"cg00005112"
0,"cg00005271"
0,"cg00006213"
0,"cg00009248"
0,"cg00010977"
0,"cg00013189"
0,"cg00014011"
0,"cg00015319"
0,"cg00019068"
0,"cg00020468"
0,"cg00021588"
0,"cg00022035"
0,"cg00023292"
0,"cg00029553"
0,"cg00029755"
0,"cg00031262"
0,"cg00032045"
0,"cg00032807"
0,"cg00035308"
0,"cg00036705"
0,"cg00036709"
0,"cg00038306"
0,"cg00038872"
0,"cg00038955"
0.0414793301694065,"cg00039845"
0,"cg00044472"
0,"cg00046850"
0,"cg00049527"
0,"cg00049718"
0,"cg00051782"
0,"cg00054169"
0,"cg00055211"
0,"cg00056596"
0,"cg00057767"
0,"cg00059117"
0,"cg00059486"
0,"cg00066554"
0,"cg00067520"
0,"cg00067701"
0,"cg00068760"
0,"cg00071267"
0,"cg00072466"
0,"cg00072485"
0,"cg00075117"
0,"cg00077617"
0,"cg00078463"
0,"cg00079224"
0,"cg00082691"
0,"cg00084577"
0,"cg00087116"
0,"cg00087778"
0,"cg00090384"
0,"cg00091964"
0,"cg00092621"
0,"cg00092936"
0,"cg00096766"
0,"cg00096922"
0,"cg00098422"
0,"cg00100281"
0,"cg00101491"
0,"cg00101675"
0,"cg00103762"
0,"cg00106940"
0,"cg00109076"
0,"cg00109643"
0,"cg00111333"
0,"cg00112642"
0,"cg00113533"
0,"cg00114412"
0,"cg00114602"
0,"cg00115173"
0,"cg00116110"
0,"cg00116289"
0,"cg00116653"
0,"cg00117744"
0,"cg00117955"
0,"cg00120227"
0,"cg00122272"
0,"cg00127523"
0,"cg00130134"
0,"cg00130771"
0,"cg00131490"
0,"cg00133237"
0,"cg00133606"
0,"cg00134217"
0,"cg00138195"
0,"cg00141625"
0,"cg00143792"
0,"cg00145315"
0,"cg00146111"
0,"cg00149071"
0,"cg00149440"
0,"cg00153046"
0,"cg00153387"
0,"cg00156720"
0,"cg00157812"
0,"cg00159476"
0,"cg00160892"
0,"cg00166579"
0,"cg00166917"
0,"cg00167491"
0,"cg00167853"
0,"cg00174373"
0,"cg00175324"
0,"cg00176482"
0,"cg00179765"
0,"cg00180801"
0,"cg00184699"
0,"cg00187380"
0,"cg00187832"
0,"cg00190744"
0,"cg00190934"
0,"cg00193158"
0,"cg00193345"
0,"cg00194857"
0,"cg00195533"
0,"cg00196544"
0,"cg00197024"
0,"cg00200794"
0,"cg00203745"
0,"cg00204390"
0,"cg00204462"
0,"cg00206304"
0,"cg00207040"
0,"cg00207813"
0,"cg00211372"
0,"cg00211803"
0,"cg00214262"
0,"cg00216013"
0,"cg00216659"
0,"cg00217702"
0,"cg00218407"
0,"cg00218447"
0,"cg00220465"
0,"cg00222474"
0,"cg00232174"
0,"cg00234378"
0,"cg00235789"
0,"cg00238638"
0,"cg00243488"
0,"cg00244134"
0,"cg00244213"
0,"cg00246701"
0,"cg00246767"
0,"cg00247020"
0,"cg00247972"
0,"cg00249744"
0,"cg00249943"
0,"cg00250826"
0,"cg00251385"
0,"cg00251636"
0,"cg00252955"
0,"cg00253748"
0,"cg00256784"
0,"cg00257941"
0,"cg00258173"
0,"cg00259292"
0,"cg00259935"
0,"cg00261096"
0,"cg00264579"
0,"cg00264615"
0,"cg00269503"
0,"cg00270194"
0,"cg00272971"
0,"cg00273076"
0,"cg00279054"
0,"cg00279752"
0,"cg00280963"
